,id_municipio,nome_municipio,ano,meanApgar1
0,3300100,Angra Dos Reis,2003,8.125721352019786
1,3300159,Aperibé,2003,8.705357142857142
2,3300209,Araruama,2003,8.457590876692802
3,3300225,Areal,2003,8.173913043478262
4,3300233,Armação Dos Búzios,2003,7.333333333333333
5,3300258,Arraial Do Cabo,2003,2.2063492063492065
6,3300308,Barra Do Piraí,2003,7.756833176248822
7,3300407,Barra Mansa,2003,8.37940234791889
8,3300456,Belford Roxo,2003,7.609167009743379
9,3300506,Bom Jardim,2003,8.889204545454545
10,3300605,Bom Jesus Do Itabapoana,2003,8.69212962962963
11,3300704,Cabo Frio,2003,8.120836560805577
12,3300803,Cachoeiras De Macacu,2003,8.413333333333334
13,3300902,Cambuci,2003,7.298701298701299
14,3300936,Carapebus,2003,9.0
15,3301009,Campos Dos Goytacazes,2003,7.858875859280227
16,3301108,Cantagalo,2003,8.674486803519061
17,3301207,Carmo,2003,8.142857142857142
18,3301306,Casimiro De Abreu,2003,8.012806830309499
19,3301405,Conceição De Macabu,2003,7.7
20,3301504,Cordeiro,2003,8.466192170818506
21,3301603,Duas Barras,2003,8.29126213592233
22,3301702,Duque De Caxias,2003,7.944148704075399
23,3301801,Engenheiro Paulo De Frontin,2003,7.782771535580524
24,3301850,Guapimirim,2003,8.170918367346939
25,3301900,Itaboraí,2003,7.800990675990676
26,3302007,Itaguaí,2003,8.270921985815603
27,3302056,Italva,2003,9.816720257234726
28,3302106,Itaocara,2003,7.610714285714286
29,3302205,Itaperuna,2003,7.715025906735751
30,3302254,Itatiaia,2003,8.32882882882883
31,3302270,Japeri,2003,7.539823008849558
32,3302304,Laje Do Muriaé,2003,8.160377358490566
33,3302403,Macaé,2003,8.05665437479048
34,3302502,Magé,2003,7.70079086115993
35,3302601,Mangaratiba,2003,8.156626506024097
36,3302700,Maricá,2003,6.979591836734694
37,3302809,Mendes,2003,8.701357466063348
38,3302858,Mesquita,2003,8.136283185840709
39,3302908,Miguel Pereira,2003,8.059422750424448
40,3303005,Miracema,2003,8.616438356164384
41,3303104,Natividade,2003,8.832618025751072
42,3303203,Nilópolis,2003,7.264367816091954
43,3303302,Niterói,2003,8.21633856195389
44,3303401,Nova Friburgo,2003,8.501480384900074
45,3303500,Nova Iguaçu,2003,7.830996809436334
46,3303609,Paracambi,2003,7.884162552221801
47,3303708,Paraíba Do Sul,2003,6.907488986784141
48,3303807,Paraty,2003,8.14314115308151
49,3303856,Paty Do Alferes,2003,0.0
50,3303906,Petrópolis,2003,7.912502393260578
51,3303955,Pinheiral,2003,8.5
52,3304003,Piraí,2003,8.43298969072165
53,3304102,Porciúncula,2003,8.220779220779221
54,3304110,Porto Real,2003,7.440860215053763
55,3304128,Quatis,2003,7.833333333333333
56,3304144,Queimados,2003,7.557577763070814
57,3304151,Quissamã,2003,7.846153846153846
58,3304201,Resende,2003,7.856542056074766
59,3304300,Rio Bonito,2003,8.769061583577713
60,3304409,Rio Claro,2003,7.349514563106796
61,3304508,Rio Das Flores,2003,7.739130434782608
62,3304524,Rio Das Ostras,2003,7.689873417721519
63,3304557,Rio De Janeiro,2003,8.068792407364349
64,3304607,Santa Maria Madalena,2003,8.048780487804878
65,3304706,Santo Antônio De Pádua,2003,8.877697841726619
66,3304755,São Francisco De Itabapoana,2003,7.894878706199461
67,3304805,São Fidélis,2003,8.110275689223057
68,3304904,São Gonçalo,2003,8.451597610694984
69,3305109,São João De Meriti,2003,8.081559405940594
70,3305133,São José De Ubá,2003,7.0
71,3305158,São José Do Vale Do Rio Preto,2003,8.344729344729345
72,3305208,São Pedro Da Aldeia,2003,8.045667447306792
73,3305307,São Sebastião Do Alto,2003,8.08860759493671
74,3305505,Saquarema,2003,8.235069885641677
75,3305604,Silva Jardim,2003,8.210526315789474
76,3305703,Sumidouro,2003,8.213836477987421
77,3305802,Teresópolis,2003,8.155762205247425
78,3305901,Trajano De Moraes,2003,8.666666666666666
79,3306008,Três Rios,2003,8.147390691114245
80,3306107,Valença,2003,8.131993006993007
81,3306156,Varre-Sai,2003,8.428571428571429
82,3306206,Vassouras,2003,7.945525291828794
83,3306305,Volta Redonda,2003,8.157980836644075
